source	target	similarity
otu_288	otu_735	0.9333333333333333
otu_3	otu_288	0.9333333333333333
otu_735	otu_874	0.9333333333333333
otu_319	otu_874	0.9333333333333333
otu_4	otu_306	0.9285714285714286
otu_667	otu_863	0.9285714285714286
otu_115	otu_655	0.9285714285714286
otu_851	otu_863	0.9285714285714286
otu_643	otu_655	0.9285714285714286
otu_493	otu_667	0.9285714285714286
otu_288	otu_402	0.9285714285714286
otu_4	otu_115	0.9285714285714286
otu_346	otu_655	0.9285714285714286
otu_154	otu_655	0.9285714285714286
otu_311	otu_717	0.9285714285714286
otu_206	otu_296	0.9285714285714286
otu_4	otu_346	0.9285714285714286
otu_12	otu_851	0.9285714285714286
otu_4	otu_154	0.9285714285714286
otu_12	otu_667	0.9285714285714286
otu_493	otu_851	0.9285714285714286
otu_306	otu_655	0.9285714285714286
otu_4	otu_643	0.9285714285714286
otu_4	otu_561	0.9230769230769231
otu_860	otu_863	0.9230769230769231
otu_206	otu_894	0.9230769230769231
otu_12	otu_628	0.9230769230769231
otu_250	otu_311	0.9230769230769231
otu_628	otu_863	0.9230769230769231
otu_124	otu_892	0.9230769230769231
otu_482	otu_587	0.9230769230769231
otu_493	otu_628	0.9230769230769231
otu_587	otu_759	0.9230769230769231
otu_206	otu_892	0.9230769230769231
otu_39	otu_482	0.9230769230769231
otu_316	otu_847	0.9230769230769231
otu_12	otu_183	0.9230769230769231
otu_12	otu_860	0.9230769230769231
otu_493	otu_860	0.9230769230769231
otu_561	otu_655	0.9230769230769231
otu_183	otu_863	0.9230769230769231
otu_39	otu_759	0.9230769230769231
otu_183	otu_493	0.9230769230769231
otu_224	otu_482	0.9166666666666666
otu_640	otu_759	0.9166666666666666
otu_209	otu_482	0.9166666666666666
otu_209	otu_759	0.9166666666666666
otu_499	otu_526	0.9166666666666666
otu_286	otu_499	0.9166666666666666
otu_224	otu_759	0.9166666666666666
otu_482	otu_763	0.9166666666666666
otu_482	otu_640	0.9166666666666666
otu_261	otu_894	0.9166666666666666
otu_261	otu_892	0.9166666666666666
otu_350	otu_482	0.9166666666666666
otu_357	otu_827	0.9166666666666666
otu_350	otu_759	0.9166666666666666
otu_759	otu_763	0.9166666666666666
otu_107	otu_659	0.9090909090909091
otu_805	otu_816	0.9090909090909091
otu_284	otu_763	0.9090909090909091
otu_224	otu_284	0.9090909090909091
otu_169	otu_215	0.9090909090909091
otu_284	otu_640	0.9090909090909091
otu_376	otu_746	0.9090909090909091
otu_261	otu_834	0.9090909090909091
otu_232	otu_891	0.9090909090909091
otu_439	otu_488	0.9090909090909091
otu_209	otu_284	0.9090909090909091
otu_439	otu_550	0.9090909090909091
otu_73	otu_317	0.9
otu_73	otu_382	0.9
otu_73	otu_256	0.9
otu_116	otu_869	0.9
otu_108	otu_676	0.9
otu_73	otu_676	0.9
otu_73	otu_653	0.9
otu_676	otu_864	0.9
otu_138	otu_575	0.9
otu_138	otu_676	0.9
otu_138	otu_864	0.9
otu_138	otu_256	0.9
otu_108	otu_256	0.9
otu_754	otu_864	0.9
otu_356	otu_864	0.9
otu_108	otu_575	0.9
otu_318	otu_545	0.9
otu_318	otu_898	0.9
otu_317	otu_864	0.9
otu_317	otu_676	0.9
otu_575	otu_754	0.9
otu_676	otu_754	0.9
otu_711	otu_864	0.9
otu_256	otu_575	0.9
otu_256	otu_711	0.9
otu_256	otu_676	0.9
otu_256	otu_382	0.9
otu_80	otu_869	0.9
otu_254	otu_327	0.9
otu_256	otu_317	0.9
otu_256	otu_653	0.9
otu_489	otu_869	0.9
otu_430	otu_545	0.9
otu_337	otu_898	0.9
otu_337	otu_545	0.9
otu_653	otu_864	0.9
otu_575	otu_864	0.9
otu_653	otu_676	0.9
otu_430	otu_898	0.9
otu_22	otu_864	0.9
otu_382	otu_575	0.9
otu_382	otu_864	0.9
otu_382	otu_676	0.9
otu_22	otu_256	0.9
otu_317	otu_575	0.9
otu_160	otu_898	0.9
otu_22	otu_73	0.9
otu_22	otu_676	0.9
otu_22	otu_575	0.9
otu_160	otu_545	0.9
otu_575	otu_676	0.9
otu_575	otu_711	0.9
otu_550	otu_721	0.9
otu_73	otu_138	0.9
otu_508	otu_869	0.9
otu_256	otu_356	0.9
otu_575	otu_653	0.9
otu_73	otu_108	0.9
otu_545	otu_881	0.9
otu_356	otu_575	0.9
otu_73	otu_575	0.9
otu_636	otu_753	0.9
otu_356	otu_676	0.9
otu_256	otu_754	0.9
otu_73	otu_356	0.9
otu_73	otu_754	0.9
otu_73	otu_864	0.9
otu_73	otu_711	0.9
otu_676	otu_711	0.9
otu_108	otu_864	0.9
otu_881	otu_898	0.9
otu_138	otu_207	0.8947368421052632
otu_108	otu_352	0.8947368421052632
otu_108	otu_207	0.8947368421052632
otu_754	otu_801	0.8947368421052632
otu_108	otu_406	0.8947368421052632
otu_108	otu_504	0.8947368421052632
otu_108	otu_415	0.8947368421052632
otu_207	otu_864	0.8947368421052632
otu_207	otu_382	0.8947368421052632
otu_356	otu_415	0.8947368421052632
otu_108	otu_621	0.8947368421052632
otu_358	otu_507	0.8947368421052632
otu_358	otu_673	0.8947368421052632
otu_356	otu_727	0.8947368421052632
otu_356	otu_801	0.8947368421052632
otu_352	otu_382	0.8947368421052632
otu_352	otu_356	0.8947368421052632
otu_207	otu_754	0.8947368421052632
otu_207	otu_356	0.8947368421052632
otu_207	otu_653	0.8947368421052632
otu_207	otu_711	0.8947368421052632
otu_207	otu_256	0.8947368421052632
otu_352	otu_754	0.8947368421052632
otu_352	otu_711	0.8947368421052632
otu_352	otu_653	0.8947368421052632
otu_329	otu_673	0.8947368421052632
otu_329	otu_793	0.8947368421052632
otu_207	otu_317	0.8947368421052632
otu_204	otu_793	0.8947368421052632
otu_382	otu_621	0.8947368421052632
otu_382	otu_727	0.8947368421052632
otu_382	otu_801	0.8947368421052632
otu_382	otu_415	0.8947368421052632
otu_382	otu_406	0.8947368421052632
otu_382	otu_504	0.8947368421052632
otu_356	otu_406	0.8947368421052632
otu_356	otu_621	0.8947368421052632
otu_352	otu_864	0.8947368421052632
otu_356	otu_504	0.8947368421052632
otu_204	otu_358	0.8947368421052632
otu_31	otu_382	0.8947368421052632
otu_204	otu_329	0.8947368421052632
otu_190	otu_793	0.8947368421052632
otu_31	otu_711	0.8947368421052632
otu_317	otu_727	0.8947368421052632
otu_415	otu_864	0.8947368421052632
otu_68	otu_204	0.8947368421052632
otu_329	otu_358	0.8947368421052632
otu_68	otu_145	0.8947368421052632
otu_358	otu_793	0.8947368421052632
otu_406	otu_864	0.8947368421052632
otu_415	otu_575	0.8947368421052632
otu_406	otu_754	0.8947368421052632
otu_406	otu_575	0.8947368421052632
otu_406	otu_711	0.8947368421052632
otu_204	otu_507	0.8947368421052632
otu_406	otu_653	0.8947368421052632
otu_415	otu_754	0.8947368421052632
otu_31	otu_653	0.8947368421052632
otu_329	otu_507	0.8947368421052632
otu_68	otu_190	0.8947368421052632
otu_317	otu_801	0.8947368421052632
otu_138	otu_406	0.8947368421052632
otu_711	otu_801	0.8947368421052632
otu_138	otu_504	0.8947368421052632
otu_676	otu_773	0.8947368421052632
otu_676	otu_745	0.8947368421052632
otu_621	otu_653	0.8947368421052632
otu_317	otu_406	0.8947368421052632
otu_22	otu_31	0.8947368421052632
otu_317	otu_415	0.8947368421052632
otu_22	otu_415	0.8947368421052632
otu_22	otu_406	0.8947368421052632
otu_22	otu_621	0.8947368421052632
otu_22	otu_352	0.8947368421052632
otu_31	otu_108	0.8947368421052632
otu_31	otu_356	0.8947368421052632
otu_31	otu_317	0.8947368421052632
otu_22	otu_504	0.8947368421052632
otu_504	otu_711	0.8947368421052632
otu_504	otu_653	0.8947368421052632
otu_317	otu_504	0.8947368421052632
otu_512	otu_676	0.8947368421052632
otu_317	otu_352	0.8947368421052632
otu_317	otu_621	0.8947368421052632
otu_68	otu_673	0.8947368421052632
otu_68	otu_793	0.8947368421052632
otu_507	otu_793	0.8947368421052632
otu_504	otu_754	0.8947368421052632
otu_22	otu_727	0.8947368421052632
otu_190	otu_358	0.8947368421052632
otu_190	otu_507	0.8947368421052632
otu_190	otu_329	0.8947368421052632
otu_22	otu_801	0.8947368421052632
otu_507	otu_673	0.8947368421052632
otu_504	otu_864	0.8947368421052632
otu_31	otu_73	0.8947368421052632
otu_31	otu_138	0.8947368421052632
otu_415	otu_711	0.8947368421052632
otu_68	otu_507	0.8947368421052632
otu_68	otu_358	0.8947368421052632
otu_415	otu_653	0.8947368421052632
otu_31	otu_754	0.8947368421052632
otu_73	otu_512	0.8947368421052632
otu_73	otu_504	0.8947368421052632
otu_73	otu_727	0.8947368421052632
otu_73	otu_801	0.8947368421052632
otu_73	otu_773	0.8947368421052632
otu_621	otu_711	0.8947368421052632
otu_653	otu_727	0.8947368421052632
otu_653	otu_801	0.8947368421052632
otu_145	otu_793	0.8947368421052632
otu_138	otu_415	0.8947368421052632
otu_138	otu_352	0.8947368421052632
otu_138	otu_621	0.8947368421052632
otu_138	otu_801	0.8947368421052632
otu_138	otu_727	0.8947368421052632
otu_673	otu_793	0.8947368421052632
