source	target	Spearman	P_value	FDR
otu_300	otu_74	0.9444444444444444	3.910307633248067e-10	2.2716964247056557e-7
otu_3	otu_402	0.9443640996322089	3.9603254009534794e-10	2.282048968438852e-7
otu_352	otu_621	0.9441930618401206	4.0686920499410917e-10	2.3255856268679423e-7
otu_330	otu_744	0.9439946322085785	4.1976866427262394e-10	2.3801219079189198e-7
otu_261	otu_892	0.9430980634368135	4.826707922234164e-10	2.715061513462449e-7
otu_280	otu_32	0.9430321689607226	4.8760639970169e-10	2.721227652382439e-7
otu_124	otu_892	0.9429153493048853	4.964657573935938e-10	2.74902398601784e-7
otu_493	otu_851	0.9420322526197207	5.681699555282194e-10	3.1113858138809293e-7
otu_477	otu_802	0.9420030823515984	5.706870531696495e-10	3.1113858138809293e-7
otu_430	otu_90	0.9393913209117302	8.401954687542457e-10	4.5457781712538873e-7
otu_4	otu_687	0.9387755102040817	9.181331250829317e-10	4.929818437377111e-7
otu_406	otu_575	0.9382540760798556	9.89047066468629e-10	5.27065412654365e-7
otu_209	otu_763	0.9371900826446281	1.1489165174793925e-9	6.076910977079808e-7
otu_356	otu_382	0.9368421052631579	1.2059369058903258e-9	6.331258084583906e-7
otu_3	otu_77	0.9366234102909613	1.2430381168826443e-9	6.478056586189286e-7
otu_48	otu_830	0.9365059947810637	1.2633698531772097e-9	6.53595632947357e-7
otu_138	otu_3	0.9363905074593435	1.2836538498817163e-9	6.59277175827656e-7
otu_138	otu_288	0.9357022248470751	1.4106151802195654e-9	7.192716655628916e-7
otu_124	otu_206	0.9356357927786499	1.4234364797971466e-9	7.206248853007326e-7
otu_154	otu_869	0.9354534516604098	1.4591585717482758e-9	7.317875411867052e-7
otu_164	otu_783	0.9354182990844537	1.4661356573242301e-9	7.317875411867052e-7
otu_653	otu_66	0.9348753124634546	1.5777099626745894e-9	7.819704287728965e-7
otu_636	otu_753	0.9338993318090391	1.797215709586908e-9	8.845795877269562e-7
otu_31	otu_73	0.933735998666951	1.8364700871131845e-9	8.976665785809246e-7
otu_286	otu_499	0.9333250265100071	1.938606830620415e-9	9.411006693633736e-7
otu_730	otu_860	0.9329998768335496	2.022933376366609e-9	9.753566393425837e-7
otu_261	otu_834	0.9323779044646763	2.193301318342833e-9	1.05035421783018e-6
otu_209	otu_640	0.9322314049586777	2.235225338154123e-9	1.0605885341437912e-6
otu_430	otu_670	0.9321373338776627	2.2625172846346686e-9	1.0605885341437912e-6
otu_31	otu_727	0.9321266968325792	2.2656214682115206e-9	1.0605885341437912e-6
otu_1	otu_300	0.9320453330666978	2.289492151419381e-9	1.0605885341437912e-6
otu_330	otu_90	0.9320453330666978	2.289492151419381e-9	1.0605885341437912e-6
otu_207	otu_731	0.9319751851758865	2.3102502133554026e-9	1.063255156634919e-6
otu_545	otu_898	0.9315315315315316	2.4454247515848238e-9	1.1182059657633934e-6
otu_477	otu_489	0.9309513398159862	2.6327051649843725e-9	1.196125713291233e-6
otu_71	otu_847	0.9304298367095779	2.811723076590056e-9	1.2693228329706802e-6
otu_430	otu_744	0.9303238371191459	2.8493953863062416e-9	1.278188274682539e-6
otu_330	otu_670	0.9300537832097177	2.947391664065435e-9	1.313832274102527e-6
otu_278	otu_855	0.9298690047636383	3.016145111445212e-9	1.3360768807424428e-6
otu_68	otu_734	0.9291639079041338	3.291681593964313e-9	1.449075929526799e-6
otu_261	otu_894	0.928438508046604	3.59809115835219e-9	1.5741870922183324e-6
otu_421	otu_759	0.9281536987999857	3.725104225082987e-9	1.6197575893066367e-6
otu_161	otu_300	0.9280622333527375	3.766724265830135e-9	1.6278679821035161e-6
otu_116	otu_80	0.9279279279279279	3.828581229825545e-9	1.644572868152214e-6
otu_32	otu_48	0.927804429208185	3.8862497664382545e-9	1.6592881834101066e-6
otu_29	otu_531	0.927536231884058	4.014131693708123e-9	1.703626334869802e-6
otu_506	otu_640	0.927359149000354	4.1005887574385724e-9	1.7299602903108112e-6
otu_493	otu_667	0.926461471584684	4.5646213475691866e-9	1.914331968226708e-6
otu_520	otu_617	0.9262424369716545	4.68463845493261e-9	1.9531084419517864e-6
otu_319	otu_816	0.9261263000607003	4.749395987602156e-9	1.9685274270016987e-6
otu_191	otu_477	0.9260706834957574	4.780686069238982e-9	1.969976196763849e-6
otu_278	otu_5	0.9251726966587714	5.3116813170106525e-9	2.16815595008159e-6
otu_116	otu_869	0.9251055527901215	5.3533959487594984e-9	2.16815595008159e-6
otu_508	otu_869	0.9251055527901215	5.3533959487594984e-9	2.16815595008159e-6
otu_520	otu_801	0.9241444899132502	5.982954798255946e-9	2.4093630925067524e-6
otu_777	otu_794	0.9239765984643369	6.0993863293390405e-9	2.442373477278157e-6
otu_67	otu_783	0.9234636742717298	6.467563373746543e-9	2.5752529307733706e-6
otu_138	otu_504	0.9231938180368403	6.669019336769111e-9	2.6406336006304327e-6
otu_402	otu_77	0.9230769230769231	6.7579879470258675e-9	2.6609952985189188e-6
otu_727	otu_87	0.9229048670719849	6.890842563223032e-9	2.6983168923259424e-6
otu_288	otu_77	0.921790237274173	7.808677260356944e-9	3.040922030247576e-6
otu_116	otu_574	0.9215097474782652	8.055953681918027e-9	3.120075263167334e-6
otu_71	otu_891	0.9214592274678112	8.101217474631994e-9	3.120553748543572e-6
otu_280	otu_721	0.9212941682411315	8.250669480958095e-9	3.149487711312575e-6
otu_164	otu_789	0.921278255028526	8.265205631019512e-9	3.149487711312575e-6
otu_306	otu_827	0.9210685560610544	8.458876710193408e-9	3.2060499770677434e-6
otu_575	otu_68	0.9206469248285152	8.860423061918254e-9	3.340379494343182e-6
otu_190	otu_317	0.9198947623082304	9.618613461270797e-9	3.588046566742258e-6
otu_204	otu_317	0.9198947623082304	9.618613461270797e-9	3.588046566742258e-6
otu_508	otu_80	0.918918918918919	1.0687136731135638e-8	3.939320562851177e-6
otu_232	otu_71	0.9189018010577794	1.0706777464619677e-8	3.939320562851177e-6
otu_834	otu_892	0.9188098387488873	1.0812838624474352e-8	3.939320562851177e-6
otu_19	otu_95	0.9187795405622853	1.0847983844541886e-8	3.939320562851177e-6
otu_198	otu_201	0.9187795405622853	1.0847983844541886e-8	3.939320562851177e-6
otu_305	otu_717	0.9186927117060161	1.0949261941561872e-8	3.939320562851177e-6
otu_311	otu_717	0.9186760810671656	1.096875479333903e-8	3.939320562851177e-6
otu_493	otu_727	0.9186452858952987	1.1004930744462627e-8	3.939320562851177e-6
otu_275	otu_588	0.9185905150407444	1.106953129159649e-8	3.942533164940668e-6
otu_667	otu_851	0.9185328185328185	1.1137943678463103e-8	3.947064480773754e-6
otu_190	otu_382	0.9183904372676609	1.1308365133189113e-8	3.987520831740854e-6
otu_107	otu_77	0.9181792041019327	1.1565429947069106e-8	4.057977291725099e-6
otu_337	otu_898	0.9180705295749875	1.1699677893162175e-8	4.084858967269765e-6
otu_506	otu_759	0.9177628544650563	1.2087229439572411e-8	4.19948271450556e-6
otu_574	otu_802	0.9176245210727969	1.2265129578636902e-8	4.240504019587654e-6
otu_640	otu_759	0.9170366316319966	1.304716201744327e-8	4.48898376285587e-6
otu_227	otu_343	0.9169274722420867	1.3197106518703094e-8	4.518638268693722e-6
otu_66	otu_73	0.9166929725127877	1.3524364295136593e-8	4.598976611572309e-6
otu_325	otu_731	-0.9166666666666666	1.3561517464566464e-8	4.598976611572309e-6
otu_444	otu_783	0.9161539354252517	1.4303855655484199e-8	4.8276193973242765e-6
otu_541	otu_826	0.9158397765454769	1.4776171397556936e-8	4.963393004612537e-6
