source	target	Pearson	P_value	FDR
otu_40	otu_818	0.9922282791855036	0	0
otu_353	otu_97	0.9921857451700027	0	0
otu_409	otu_843	0.9920304475318871	0	0
otu_168	otu_258	0.9920192134968777	0	0
otu_618	otu_91	0.9919682880869081	0	0
otu_272	otu_661	0.9919658849641553	0	0
otu_322	otu_40	0.9919418960752374	0	0
otu_164	otu_67	0.991941768008108	0	0
otu_119	otu_560	0.991937515946084	0	0
otu_272	otu_383	0.9919261901235062	0	0
otu_383	otu_40	0.9918467913981152	0	0
otu_40	otu_661	0.9918363036875018	0	0
otu_181	otu_40	0.9917742992414426	0	0
otu_592	otu_645	0.991770629639049	0	0
otu_100	otu_45	0.9917201693707619	0	0
otu_168	otu_608	0.9917051443823763	0	0
otu_608	otu_618	0.9916136001174995	0	0
otu_386	otu_622	0.9915680951905848	0	0
otu_172	otu_258	0.9915338140035698	0	0
otu_168	otu_91	0.9914329430263186	0	0
otu_258	otu_53	0.991389994235463	0	0
otu_430	otu_744	0.991325378733122	0	0
otu_285	otu_625	0.9913037085265959	0	0
otu_164	otu_622	0.9912515893185956	0	0
otu_53	otu_814	0.9912179138904126	0	0
otu_119	otu_40	0.9912163298086654	0	0
otu_258	otu_397	0.9910454828494623	0	0
otu_559	otu_830	0.9910042064439716	0	0
otu_526	otu_765	0.990927113444566	0	0
otu_409	otu_622	0.9908797698977846	0	0
otu_67	otu_900	0.9908467323019441	0	0
otu_444	otu_622	0.9908221417095416	0	0
otu_523	otu_782	0.9908151016797785	0	0
otu_38	otu_608	0.9907356915339014	0	0
otu_519	otu_782	0.9907192640340186	0	0
otu_40	otu_618	0.9906401436379331	0	0
otu_622	otu_843	0.9906264916174858	0	0
otu_217	otu_622	0.990546689216277	0	0
otu_409	otu_444	0.990531823721057	0	0
otu_429	otu_746	0.9905167185936248	0	0
otu_181	otu_814	0.9904961680921135	0	0
otu_193	otu_40	0.990429750527143	0	0
otu_149	otu_532	0.990282446487758	0	0
otu_272	otu_292	0.9902418561650974	0	0
otu_272	otu_429	0.9902080943029204	0	0
otu_38	otu_91	0.9901989418017605	0	0
otu_168	otu_40	0.9901922603300185	0	0
otu_409	otu_900	0.9901740050962023	0	0
otu_172	otu_38	0.9901402240455651	0	0
otu_234	otu_444	0.9900643834929023	0	0
otu_409	otu_438	0.9900530932072693	0	0
otu_608	otu_814	0.9900495545670362	0	0
otu_181	otu_560	0.9900188121576098	0	0
otu_38	otu_560	0.9899379800636201	0	0
otu_386	otu_438	0.9899351704335859	0	0
otu_532	otu_560	0.989919588569525	0	0
otu_128	otu_40	0.989878174244803	0	0
otu_172	otu_40	0.9898663337061302	0	0
otu_258	otu_608	0.9898661169201893	0	0
otu_148	otu_843	0.9898161824261528	0	0
otu_193	otu_560	0.9898123273831769	0	0
otu_168	otu_193	0.9897950416658204	0	0
otu_193	otu_258	0.9897407611585943	0	0
otu_386	otu_444	0.9897195072656467	0	0
otu_560	otu_69	0.9897160731264552	0	0
otu_69	otu_818	0.9897045073344056	0	0
otu_149	otu_38	0.9896322014208084	0	0
otu_192	otu_38	0.9896029332640089	0	0
otu_560	otu_717	0.9895792706689619	0	0
otu_814	otu_91	0.9895597454345268	0	0
otu_397	otu_814	0.9895345854495611	0	0
otu_168	otu_181	0.9895329099014086	0	0
otu_67	otu_843	0.9895090919160257	0	0
otu_128	otu_69	0.9894020048780496	0	0
otu_265	otu_438	0.9893994926806101	0	0
otu_532	otu_818	0.9893977283041533	0	0
otu_53	otu_532	0.9893872994365666	0	0
otu_164	otu_444	0.9893813752091187	0	0
otu_258	otu_91	0.9893485834330029	0	0
otu_618	otu_818	0.9891822569368711	2.220446049250313e-16	4.827494913701386e-14
otu_302	otu_885	0.9891659735064151	2.220446049250313e-16	4.827494913701386e-14
otu_192	otu_814	0.9891648231937987	2.220446049250313e-16	4.827494913701386e-14
otu_53	otu_69	0.9891498329568336	2.220446049250313e-16	4.827494913701386e-14
otu_234	otu_622	0.9891068159414902	2.220446049250313e-16	4.827494913701386e-14
otu_650	otu_748	0.9890760360916356	2.220446049250313e-16	4.827494913701386e-14
otu_38	otu_40	0.9890018755529446	2.220446049250313e-16	4.827494913701386e-14
otu_190	otu_204	0.9889987410871739	2.220446049250313e-16	4.827494913701386e-14
otu_636	otu_753	0.9889941105946888	2.220446049250313e-16	4.827494913701386e-14
otu_383	otu_814	0.9888795209457437	2.220446049250313e-16	4.827494913701386e-14
otu_661	otu_814	0.9888575267349468	2.220446049250313e-16	4.827494913701386e-14
otu_128	otu_814	0.9887689595681833	2.220446049250313e-16	4.827494913701386e-14
otu_149	otu_69	0.9887175487502935	2.220446049250313e-16	4.827494913701386e-14
otu_119	otu_128	0.988669536497257	4.440892098500626e-16	8.743129677036954e-14
otu_258	otu_383	0.9886370179278823	4.440892098500626e-16	8.743129677036954e-14
otu_258	otu_661	0.9886141039523322	4.440892098500626e-16	8.743129677036954e-14
otu_383	otu_532	0.9886106329554161	4.440892098500626e-16	8.743129677036954e-14
otu_532	otu_661	0.9886087316396392	4.440892098500626e-16	8.743129677036954e-14
otu_353	otu_592	0.9885238437588957	4.440892098500626e-16	8.743129677036954e-14
otu_438	otu_67	0.988514931510246	4.440892098500626e-16	8.743129677036954e-14
otu_292	otu_814	0.9885043819677912	4.440892098500626e-16	8.743129677036954e-14
otu_410	otu_46	0.9884587723538657	4.440892098500626e-16	8.743129677036954e-14
otu_272	otu_53	0.9884465140887558	4.440892098500626e-16	8.743129677036954e-14
otu_775	otu_782	0.9884069935972413	4.440892098500626e-16	8.743129677036954e-14
otu_622	otu_783	0.9883331191210671	4.440892098500626e-16	8.743129677036954e-14
otu_40	otu_69	0.9882934140378723	4.440892098500626e-16	8.743129677036954e-14
otu_53	otu_618	0.9882580814436804	4.440892098500626e-16	8.743129677036954e-14
otu_327	otu_518	0.9882538226910499	4.440892098500626e-16	8.743129677036954e-14
otu_193	otu_272	0.988200188747192	4.440892098500626e-16	8.743129677036954e-14
otu_272	otu_397	0.9881962034204979	4.440892098500626e-16	8.743129677036954e-14
otu_519	otu_899	0.9881670548580697	4.440892098500626e-16	8.743129677036954e-14
otu_541	otu_797	0.9881594260641662	4.440892098500626e-16	8.743129677036954e-14
otu_258	otu_292	0.988156887262348	4.440892098500626e-16	8.743129677036954e-14
otu_691	otu_899	0.988120049976214	4.440892098500626e-16	8.743129677036954e-14
otu_148	otu_622	0.988084208160744	4.440892098500626e-16	8.743129677036954e-14
otu_783	otu_900	0.9880583827342568	4.440892098500626e-16	8.743129677036954e-14
otu_383	otu_69	0.9879165566224994	4.440892098500626e-16	8.743129677036954e-14
otu_193	otu_588	0.9879135654515991	4.440892098500626e-16	8.743129677036954e-14
otu_661	otu_69	0.9879090003298384	4.440892098500626e-16	8.743129677036954e-14
otu_777	otu_794	0.9877833347082112	4.440892098500626e-16	8.743129677036954e-14
otu_128	otu_322	0.9877683942554063	4.440892098500626e-16	8.743129677036954e-14
otu_292	otu_532	0.98776064017074094	4.440892098500626e-16	8.743129677036954e-14
otu_172	otu_560	0.9877308519494451	4.440892098500626e-16	8.743129677036954e-14
otu_172	otu_275	0.9877291063988961	4.440892098500626e-16	8.743129677036954e-14
otu_217	otu_783	0.9877185028776345	4.440892098500626e-16	8.743129677036954e-14
otu_272	otu_38	0.9877053216468198	4.440892098500626e-16	8.743129677036954e-14
otu_148	otu_659	0.9876855453518528	4.440892098500626e-16	8.743129677036954e-14
otu_292	otu_618	0.9876389168044353	6.661338147750939e-16	1.2864550478473993e-13
otu_397	otu_618	0.9876327195744461	6.661338147750939e-16	1.2864550478473993e-13
otu_113	otu_343	0.9875877028813477	6.661338147750939e-16	1.2864550478473993e-13
otu_322	otu_618	0.9875780082542966	6.661338147750939e-16	1.2864550478473993e-13
otu_234	otu_438	0.987568481896458	6.661338147750939e-16	1.2864550478473993e-13
otu_397	otu_532	0.9875591085749289	6.661338147750939e-16	1.2864550478473993e-13
otu_164	otu_217	0.9874724689629559	6.661338147750939e-16	1.2864550478473993e-13
otu_168	otu_717	0.9874084232450059	8.881784197001252e-16	1.6266287771231544e-13
otu_608	otu_69	0.98740565158666	8.881784197001252e-16	1.6266287771231544e-13
otu_292	otu_69	0.9873072277947627	8.881784197001252e-16	1.6266287771231544e-13
otu_497	otu_72	0.9873067325254877	8.881784197001252e-16	1.6266287771231544e-13
otu_397	otu_69	0.9873059951133979	8.881784197001252e-16	1.6266287771231544e-13
otu_113	otu_227	0.987283853340976	8.881784197001252e-16	1.6266287771231544e-13
otu_128	otu_532	0.9872530745869484	8.881784197001252e-16	1.6266287771231544e-13
otu_72	otu_802	0.9872208212372292	8.881784197001252e-16	1.6266287771231544e-13
otu_717	otu_91	0.987191060302142	8.881784197001252e-16	1.6266287771231544e-13
otu_40	otu_532	0.9871602419140095	8.881784197001252e-16	1.6266287771231544e-13
otu_69	otu_91	0.9871314043197386	8.881784197001252e-16	1.6266287771231544e-13
otu_383	otu_618	0.9870278284866632	8.881784197001252e-16	1.6266287771231544e-13
otu_168	otu_816	0.9870244989559493	8.881784197001252e-16	1.6266287771231544e-13
otu_608	otu_717	0.9870195638471762	8.881784197001252e-16	1.6266287771231544e-13
otu_217	otu_843	0.9870096827739164	8.881784197001252e-16	1.6266287771231544e-13
otu_618	otu_661	0.9870028549614518	8.881784197001252e-16	1.6266287771231544e-13
otu_718	otu_883	0.9869774766774023	8.881784197001252e-16	1.6266287771231544e-13
otu_258	otu_40	0.986963537499305	8.881784197001252e-16	1.6266287771231544e-13
otu_532	otu_608	0.9869384488988534	8.881784197001252e-16	1.6266287771231544e-13
otu_777	otu_900	0.9869257485956446	8.881784197001252e-16	1.6266287771231544e-13
