source	target	Rho
otu_617	otu_520	0.872485764536194
otu_397	otu_53	0.872296766261646
otu_559	otu_175	0.871865434443417
otu_655	otu_154	0.871757739968244
otu_628	otu_493	0.871354405922079
otu_115	otu_4	0.871299786562387
otu_703	otu_558	0.871201600210448
otu_198	otu_125	0.87084915234866
otu_744	otu_430	0.870218091609682
otu_863	otu_628	0.870116886506014
otu_430	otu_237	0.869738436760432
otu_719	otu_325	0.869615612363673
otu_687	otu_4	0.869564522915509
otu_198	otu_175	0.86952623787167
otu_881	otu_14	0.869453583632224
otu_827	otu_154	0.869408532238081
otu_677	otu_125	0.869387789602496
otu_677	otu_270	0.869348062157856
otu_628	otu_12	0.869280987528344
otu_764	otu_508	0.86888191602035
otu_721	otu_550	0.86847331434712
otu_561	otu_254	0.868342157736901
otu_317	otu_138	0.867356593960124
otu_430	otu_14	0.867150894065488
otu_325	otu_121	0.867128094559628
otu_430	otu_90	0.867107431089453
otu_843	otu_438	0.866976830682942
otu_881	otu_237	0.865895215252784
otu_160	otu_14	0.865629621880143
otu_670	otu_430	0.865487783140726
otu_193	otu_53	0.865096575952937
otu_881	otu_744	0.864786998864123
otu_875	otu_617	0.863622248652005
otu_746	otu_376	0.863036824642998
otu_677	otu_201	0.862808393362873
otu_900	otu_67	0.862459169227846
otu_827	otu_306	0.862171084130355
otu_337	otu_237	0.861869219597952
otu_885	otu_850	0.861590702991725
otu_885	otu_157	0.861540658798992
otu_900	otu_577	0.861519941834496
otu_764	otu_92	0.861275726096347
otu_892	otu_834	0.861084588978005
otu_402	otu_288	0.859980136870376
otu_883	otu_5	0.859857655189357
otu_718	otu_5	0.858957224308011
otu_863	otu_667	0.858794852335691
otu_410	otu_161	0.858762164182777
otu_667	otu_12	0.858624716037326
otu_667	otu_493	0.858427442578745
otu_482	otu_421	0.85832497344254
otu_670	otu_337	0.85825148927794
otu_337	otu_90	0.857659507363621
otu_687	otu_655	0.856831978082551
otu_183	otu_12	0.85637129254702
otu_816	otu_805	0.856245348294989
otu_881	otu_670	0.856224175862644
otu_215	otu_169	0.855858356127327
otu_723	otu_157	0.855694250346724
otu_744	otu_337	0.855177898548777
otu_881	otu_90	0.855022121736518
otu_565	otu_531	0.85480774638134
otu_723	otu_701	0.854804867629466
otu_850	otu_723	0.854620025794546
otu_863	otu_183	0.854597809581501
otu_885	otu_701	0.854233754633504
otu_864	otu_256	0.853890991024041
otu_874	otu_735	0.853716497877107
otu_296	otu_206	0.85301270922697
otu_643	otu_561	0.852909152883565
otu_193	otu_172	0.85252780838789
otu_237	otu_160	0.852511466336602
otu_759	otu_421	0.852202394046131
