OTU	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
otu_69	0	0	0.03295417	0	0.010970151	0	0.00644378	0.22474325	0.00629994	0	0	0	0	0	0	0	0	0.011716645	0	0
otu_70	0	0.041931	0.01191387	0	0	0.006131657	0	0.009308036	0	0	0	0	0.11028513	0.079777375	0	0	0	0	0.023611832	0.0285813
otu_71	0	0	0	0.012315271	0	0	0.012165924	0.1085235	0	0	0.006637917	0.004422356	0.06512974	0.014695437	0	0	0	0.016021345	0.023048764	0.051776536
otu_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04097542	0	0	0	0	0.13606246	0.068821125
otu_73	0	0.031478375	0.013352796	0.009546123	0.051077254	0.010557186	0.11331645	0.12527063	0.011706287	0.01078923	0.007437849	0.042283088	0.034777746	0.055646196	0.045865335	0.005091794	0.040216103	0.1848151	0.12171012	0.15945551
otu_74	0	0	0	0	0	0.014249447	0.11052493	0	0	0.013137738	0	0.012366939	0	0.07127861	0	0	0.015734356	0.02981159	0.018647322	0
otu_75	0	0	0	0	0.028357087	0	0	0.017636146	0	0	0	0.003841373	0	0	0	0	0.014712551	0.008518899	0	0
otu_76	0	0	0.007542317	0	0.028596982	0.010628345	0.019072564	0.012472859	0	0.013244396	0	0.011309746	0	0.026496397	0	0	0.02641464	0.030313287	0.030528994	0.026164979
otu_77	0	0.028713552	0.20310397	0.046740502	0.00556848	0.004570278	0	0	0.039584953	0	0.03478875	0	0.49217436	0.015472879	0.02063195	0	0	0.006336828	0.029206496	0.13774188
otu_78	0	0.004156285	0.075234644	0	0	0	0	0	0.020064607	0	0	0	0.01375374	0	0	0	0	0	0	0
otu_79	0.005124821	0	0.010764866	0	0.04010309	0	0	0.12389838	0	0	0	0.016541768	0	0	0	0	0.039048616	0	0	0
otu_80	0	0	0	0	0.011723888	0	0.1280996	0.01538079	0	0	0	0.030507768	0	0.05086452	0	0	0.07198367	0.11559452	0.08433744	0.06270135
otu_81	0	0	0	0.054145303	0	0	0	0	0	0	0.06017021	0	0	0	0.03786704	0	0	0	0	0
otu_82	0	0	0	0	0	0	0	0	0	0	0	0	0.006388403	0.08093458	0	0	0	0	0.011224687	0.010881725
otu_83	0	0	0	0.012191627	0	0	0	0	0	0	0.007951417	0	0.02801845	0	0	0	0	0	0	0
otu_84	0.030417828	0.005947593	0.011544429	0	0	0	0	0.015519653	0.06235617	0	0	0	0.041996364	0	0	0	0	0	0	0.16966324
otu_85	0	0	0.018193627	0	0.07135806	0	0	0	0	0	0	0	0	0	0.006965423	0	0	0.005486778	0.004623316	0
otu_86	0	0	0	0	0	0	0	0.03491033	0.0083173	0	0	0	0.036796324	0	0	0	0	0	0	0
otu_87	0	0.03136124	0.035713304	0.010378883	0.016128527	0	0.023257924	0.06429391	0.008356937	0	0.005942359	0.009868755	0.13062544	0.08700286	0.014851287	0	0.01385884	0.14051558	0.17792302	0.18734773
otu_88	0	0	0	0	0.008845544	0	0	0.07792228	0	0	0	0	0	0	0	0	0	0.028552312	0	0
otu_89	0.01169244	0.06612465	0	0	0	0.005065137	0	0	0	0	0	0	0.11611616	0.056462165	0	0	0	0	0.005100042	0.006412706
otu_90	0.08795439	0	0.09933568	0.06513022	0	0.02122067	0	0	0.102778	0.010951255	0.04680496	0	0.043708637	0	0	0	0	0	0	0
otu_91	0	0	0	0	0	0	0.010192359	0.22301611	0	0	0	0	0	0	0	0	0	0	0	0
otu_92	0	0	0	0	0.006738825	0.005486517	0.030862851	0	0	0.007454022	0	0.007212151	0	0.09836412	0	0	0.012345631	0.04726874	0.17776	0.112139404
otu_93	0.003390871	0	0.025274742	0	0.009138317	0	0	0.023892615	0.00521507	0	0	0	0	0	0	0	0	0	0	0
otu_94	0	0	0.009030465	0	0.06504719	0	0	0.011841068	0	0	0	0.005485248	0	0	0.016994087	0	0	0.015060821	0.004907947	0
